Longitude,Latitude,Date,CMAQ_O3
-106.81046,27.6042,2005-05-22,54.5998
-106.82342,27.71006,2005-05-22,55.3101
-106.83641,27.81596,2005-05-22,55.6678
-106.84944,27.92189,2005-05-22,55.4355
-106.86251,28.02785,2005-05-22,55.7985
-106.87561,28.13386,2005-05-22,56.0492
-106.88874,28.23989,2005-05-22,56.207
-106.90191,28.34596,2005-05-22,56.5133
-106.91512,28.45206,2005-05-22,56.7813
-106.92835,28.55819,2005-05-22,56.0768
-106.94163,28.66436,2005-05-22,55.4198
-106.95493,28.77055,2005-05-22,55.3067
-106.96828,28.87678,2005-05-22,55.506
-106.98166,28.98304,2005-05-22,55.4563
-106.99507,29.08933,2005-05-22,55.2742
-107.00853,29.19566,2005-05-22,54.899
-107.02202,29.30201,2005-05-22,54.2007
-107.03554,29.40839,2005-05-22,52.9359
-107.0491,29.51481,2005-05-22,52.3067
-107.0627,29.62125,2005-05-22,52.6256
-107.07633,29.72772,2005-05-22,52.9889
-107.09,29.83422,2005-05-22,53.2612
-107.10371,29.94075,2005-05-22,53.812
-107.11745,30.04731,2005-05-22,54.3818
-107.13124,30.1539,2005-05-22,54.8014
-107.14506,30.26051,2005-05-22,55.5147
-107.15891,30.36715,2005-05-22,56.5737
-107.17281,30.47382,2005-05-22,57.9752
-107.18674,30.58051,2005-05-22,58.8618
-107.20071,30.68723,2005-05-22,59.5673
-107.21472,30.79398,2005-05-22,59.6442
-107.22878,30.90075,2005-05-22,59.63
-107.24286,31.00755,2005-05-22,59.4809
-107.25698,31.11437,2005-05-22,59.091
-107.27115,31.22122,2005-05-22,58.6882
-107.28535,31.32809,2005-05-22,58.3123
-107.29959,31.43498,2005-05-22,57.8702
-107.31387,31.5419,2005-05-22,57.5788
-107.32819,31.64884,2005-05-22,57.4241
-107.34255,31.75581,2005-05-22,57.6023
-107.35696,31.86279,2005-05-22,57.7455
-107.3714,31.9698,2005-05-22,57.892
-107.38588,32.07684,2005-05-22,57.8808
-107.4004,32.18389,2005-05-22,57.978
-107.41496,32.29096,2005-05-22,58.0407
-107.42956,32.39806,2005-05-22,57.7058
-107.44421,32.50517,2005-05-22,57.8465
-107.45889,32.6123,2005-05-22,57.9004
-107.47361,32.71946,2005-05-22,57.9118
-107.48838,32.82663,2005-05-22,57.8597
-107.50319,32.93383,2005-05-22,57.8168
-107.51804,33.04104,2005-05-22,57.648
-107.53293,33.14827,2005-05-22,57.4731
-107.54786,33.25552,2005-05-22,57.063
-107.56284,33.36279,2005-05-22,56.6339
-107.57785,33.47007,2005-05-22,56.5193
-107.59291,33.57737,2005-05-22,55.9933
-107.60802,33.68468,2005-05-22,55.719
-107.62316,33.79202,2005-05-22,55.6316
-107.63835,33.89936,2005-05-22,55.2357
-107.65359,34.00673,2005-05-22,55.0274
-107.66886,34.11411,2005-05-22,55.0225
-107.68418,34.2215,2005-05-22,55.4053
-107.69955,34.32891,2005-05-22,55.745
-107.71495,34.43634,2005-05-22,55.6801
-107.7304,34.54377,2005-05-22,55.6629
-107.7459,34.65122,2005-05-22,55.3342
-107.76144,34.75869,2005-05-22,55.1892
-107.77702,34.86616,2005-05-22,54.3168
-107.79266,34.97365,2005-05-22,52.4672
-107.80833,35.08115,2005-05-22,52.8224
-107.82405,35.18866,2005-05-22,53.2219
-107.83982,35.29618,2005-05-22,53.9666
-107.85563,35.40372,2005-05-22,55.718
-107.87149,35.51126,2005-05-22,53.6896
-107.8874,35.61881,2005-05-22,53.9009
-107.90334,35.72638,2005-05-22,53.941
-107.91934,35.83395,2005-05-22,53.903
-107.93539,35.94153,2005-05-22,54.8848
-107.95148,36.04912,2005-05-22,55.3462
-107.96762,36.15672,2005-05-22,56.092
-107.9838,36.26432,2005-05-22,58.5717
-108.00004,36.37194,2005-05-22,59.1108
-108.01632,36.47956,2005-05-22,62.8626
-108.03265,36.58719,2005-05-22,67.3346
-108.04903,36.69482,2005-05-22,67.7496
-108.06545,36.80246,2005-05-22,66.9227
-108.08193,36.91011,2005-05-22,60.7621
-108.09845,37.01776,2005-05-22,59.3065
-108.11503,37.12541,2005-05-22,58.0202
-108.13165,37.23307,2005-05-22,55.1458
-108.14832,37.34073,2005-05-22,55.9769
-108.16504,37.4484,2005-05-22,56.6252
-108.18182,37.55607,2005-05-22,56.6835
-108.19863,37.66375,2005-05-22,56.0826
-108.21551,37.77142,2005-05-22,54.8372
-108.23243,37.8791,2005-05-22,54.2095
-108.2494,37.98678,2005-05-22,54.9935
-108.26643,38.09446,2005-05-22,55.0036
-108.2835,38.20214,2005-05-22,55.5583
-108.30063,38.30983,2005-05-22,56.7954
-108.31781,38.41751,2005-05-22,56.6144
